,Decision Tree,Random Forest
petal length (cm),0.9507319064559399,0.4561036416681945
petal width (cm),0.04926809354406017,0.40786776310576206
sepal length (cm),0.0,0.11161419918249274
sepal width (cm),0.0,0.024414396043550585
