Rank,Model,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std
1,Logistic Regression,0.9210526315789473,0.9226190476190477,0.9210526315789473,0.9209356725146198,0.9643939393939395,0.05965638522003039
2,SVM,0.9210526315789473,0.9226190476190477,0.9210526315789473,0.9209356725146198,0.9643939393939395,0.05965638522003039
3,Decision Tree,0.8947368421052632,0.9004784688995215,0.8947368421052632,0.894110275689223,0.928030303030303,0.06786542752715498
4,Random Forest,0.8947368421052632,0.9004784688995215,0.8947368421052632,0.894110275689223,0.9462121212121211,0.05988683083021718
