Rank,Model,MAE,RMSE,R² Score,MAPE (%)
1,Random Forest,24.722565748465673,41.79653903697033,0.9448309495522738,33.31891350287456
2,Decision Tree,31.037534338516036,52.54753126316873,0.912799394502902,37.52790757136769
3,SVR,67.94266839532305,112.9184784417204,0.5973340551899481,109.4569346962253
4,Linear Regression,104.8033508955442,139.21145199893476,0.38798115831391344,347.7090343259404
